,Player,Year,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
0,Mark Dodd,1996,DAL,GK,31,31,2776,235,160,45,1.46,5/5,17,14,0,6,55,68
1,Tony Meola,1996,MET,GK,29,29,2610,188,142,38,1.31,3/4,14,15,0,9,48,76
2,Mark Dougherty,1996,TB,GK,28,28,2520,186,123,47,1.68,9/10,17,11,0,3,61,66
3,Jorge Campos,1996,LA,GK,24,24,2025,133,100,27,1.2,0/1,13,8,0,4,54,75
4,Chris Woods,1996,COL,GK,23,23,2070,149,96,43,1.87,2/2,8,15,0,2,35,64
5,Garth Lagerwey,1996,KC,GK,23,22,1959,133,83,38,1.75,2/2,12,10,0,3,52,62
6,Tom Liner,1996,SJ,GK,20,20,1712,118,75,33,1.73,1/2,7,12,0,4,35,64
7,Aidan Heaney,1996,NE,GK,19,18,1534,130,93,29,1.7,2/2,8,9,0,4,42,72
8,Jeff Causey,1996,DC,GK,19,18,1620,115,70,35,1.94,7/8,9,10,0,0,47,61
9,Jim St. Andre,1996,NE,GK,15,14,1346,91,57,27,1.81,0/0,7,8,0,2,47,63
10,Mark Simpson,1996,DC,GK,15,14,1260,69,46,21,1.5,0/0,7,6,0,3,47,67
11,Bo Oshoniyi,1996,CLB,GK,13,13,1170,101,64,33,2.54,2/3,3,10,0,2,23,63
12,Dave Salzwedel,1996,SJ,GK,14,12,1168,80,53,17,1.31,2/2,8,5,0,4,57,66
13,Pat Harrington,1996,CLB,GK,12,11,924,57,23,21,2.05,0/0,5,5,0,1,42,40
14,Brad Friedel,1996,CLB,GK,9,9,810,60,46,7,0.78,0/0,8,1,0,4,89,77
15,Dusty Hudock,1996,COL,GK,9,9,810,55,34,16,1.78,2/2,3,6,0,2,33,62
16,David Kramer,1996,LA,GK,15,8,855,83,52,22,2.32,4/4,6,5,0,1,40,63
17,David Winner,1996,CLB,GK,7,6,606,39,22,16,2.38,2/2,3,4,0,0,43,56
18,Scott Budnick,1996,TB,GK,4,4,360,23,18,4,1.0,0/0,3,1,0,1,75,78
19,Mike Ammann,1996,KC,GK,4,3,291,21,12,8,2.47,0/1,1,2,0,0,25,57
20,Zach Thornton,1996,MET,GK,3,3,270,17,8,9,3.0,1/1,1,2,0,0,33,47
21,Jeff Cassar,1996,DAL,GK,2,1,104,9,6,3,2.6,0/0,0,1,0,0,0,67
22,Mile Miovac,1996,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
23,Mark Dodd,1997,DAL,GK,30,30,2700,249,183,48,1.6,6/9,14,16,0,3,47,73
24,Tony Meola,1997,MET,GK,30,30,2683,204,149,48,1.61,4/6,12,18,0,5,40,73
25,Brad Friedel,1997,CLB,GK,29,29,2609,174,131,35,1.21,4/5,14,15,0,7,48,75
26,Mike Ammann,1997,KC,GK,29,29,2597,160,109,45,1.56,3/4,21,8,0,5,72,68
27,Marcus Hahnemann,1997,COL,GK,25,24,2157,154,111,37,1.54,4/5,13,10,0,5,52,72
28,Mark Dougherty,1997,TB,GK,25,24,2143,165,111,45,1.89,1/4,15,9,0,3,60,67
29,Walter Zenga,1997,NE,GK,22,22,1980,113,81,28,1.27,1/1,15,7,0,6,68,72
30,David Kramer,1997,SJ,GK,21,21,1831,123,84,33,1.62,3/4,7,14,0,3,33,68
31,Jorge Campos,1997,LA,GK,19,19,1587,88,62,23,1.3,2/2,12,5,0,4,63,70
32,Dave Salzwedel,1997,SJ,GK,20,18,1679,118,72,35,1.88,1/3,7,11,0,2,35,61
33,Scott Garlick,1997,DC,GK,14,13,1171,82,57,22,1.69,0/0,9,5,0,2,64,70
34,Jeff Causey,1997,NE,GK,12,11,991,86,56,27,2.45,0/1,4,8,0,1,33,65
35,Paul Grafer,1997,COL,GK,9,8,723,63,40,22,2.74,1/1,1,8,0,1,11,63
36,Scott Budnick,1997,TB,GK,9,8,737,52,35,15,1.83,0/0,2,6,0,1,22,67
37,Mark Simpson,1997,DC,GK,7,7,629,35,27,7,1.0,3/3,4,2,0,3,57,77
38,Tom Presthus,1997,DC,GK,7,7,629,49,31,13,1.86,0/1,4,2,0,0,57,63
39,Kevin Hartman,1997,LA,GK,8,4,483,21,12,8,1.49,1/2,2,4,0,3,25,57
40,Scott Coufal,1997,NE,GK,4,4,360,29,17,9,2.25,0/0,0,4,0,1,0,59
41,Chris Snitko,1997,KC,GK,5,3,282,20,11,6,1.91,0/0,0,3,0,0,0,55
42,David Winner,1997,CLB,GK,4,3,271,19,11,6,1.99,0/0,1,2,0,0,25,58
43,Garth Lagerwey,1997,DAL,GK,2,2,180,14,13,1,0.5,0/0,2,0,0,1,100,93
44,Tom Liner,1997,SJ,GK,2,2,180,19,14,4,2.0,1/1,0,2,0,0,0,74
45,Zach Thornton,1997,MET,GK,3,2,197,18,12,5,2.28,2/2,1,1,0,0,33,67
46,Aidan Heaney,1997,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
47,Jeff Cassar,1997,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
48,Tony Meola,1997,MET,GK,30,30,2683,204,149,48,1.61,4/6,12,18,0,5,40,73
49,Brad Friedel,1997,CLB,GK,29,29,2609,174,131,35,1.21,4/5,14,15,0,7,48,75
50,Mike Ammann,1997,KC,GK,29,29,2597,160,109,45,1.56,3/4,21,8,0,5,72,68
51,Marcus Hahnemann,1997,COL,GK,25,24,2157,154,111,37,1.54,4/5,13,10,0,5,52,72
52,Mark Dougherty,1997,TB,GK,25,24,2143,165,111,45,1.89,1/4,15,9,0,3,60,67
53,Walter Zenga,1997,NE,GK,22,22,1980,113,81,28,1.27,1/1,15,7,0,6,68,72
54,David Kramer,1997,SJ,GK,21,21,1831,123,84,33,1.62,3/4,7,14,0,3,33,68
55,Jorge Campos,1997,LA,GK,19,19,1587,88,62,23,1.3,2/2,12,5,0,4,63,70
56,Dave Salzwedel,1997,SJ,GK,20,18,1679,118,72,35,1.88,1/3,7,11,0,2,35,61
57,Scott Garlick,1997,DC,GK,14,13,1171,82,57,22,1.69,0/0,9,5,0,2,64,70
58,Jeff Causey,1997,NE,GK,12,11,991,86,56,27,2.45,0/1,4,8,0,1,33,65
59,Paul Grafer,1997,COL,GK,9,8,723,63,40,22,2.74,1/1,1,8,0,1,11,63
60,Scott Budnick,1997,TB,GK,9,8,737,52,35,15,1.83,0/0,2,6,0,1,22,67
61,Mark Simpson,1997,DC,GK,7,7,629,35,27,7,1.0,3/3,4,2,0,3,57,77
62,Tom Presthus,1997,DC,GK,7,7,629,49,31,13,1.86,0/1,4,2,0,0,57,63
63,Kevin Hartman,1997,LA,GK,8,4,483,21,12,8,1.49,1/2,2,4,0,3,25,57
64,Scott Coufal,1997,NE,GK,4,4,360,29,17,9,2.25,0/0,0,4,0,1,0,59
65,Chris Snitko,1997,KC,GK,5,3,282,20,11,6,1.91,0/0,0,3,0,0,0,55
66,David Winner,1997,CLB,GK,4,3,271,19,11,6,1.99,0/0,1,2,0,0,25,58
67,Garth Lagerwey,1997,DAL,GK,2,2,180,14,13,1,0.5,0/0,2,0,0,1,100,93
68,Tom Liner,1997,SJ,GK,2,2,180,19,14,4,2.0,1/1,0,2,0,0,0,74
69,Zach Thornton,1997,MET,GK,3,2,197,18,12,5,2.28,2/2,1,1,0,0,33,67
70,Aidan Heaney,1997,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
71,Jeff Cassar,1997,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
72,Marcus Roy,1997,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
73,Tony Meola,1998,MET,GK,31,31,2790,234,164,62,2.0,5/5,14,17,0,4,45,70
74,Kevin Hartman,1998,LA,GK,29,28,2544,143,103,39,1.38,0/1,22,7,0,7,76,72
75,Marcus Hahnemann,1998,COL,GK,28,28,2520,200,138,52,1.86,4/5,16,12,0,4,57,69
76,Mike Ammann,1998,KC,GK,27,27,2430,132,85,42,1.56,4/7,11,16,0,5,41,64
77,Ian Feuer,1998,NE,GK,26,26,2336,179,112,55,2.12,1/5,8,15,0,5,31,63
78,Scott Garlick,1998,DC,GK,25,25,2205,129,88,35,1.43,3/3,19,5,0,7,76,68
79,David Kramer,1998,SJ,GK,24,24,2125,132,82,39,1.65,2/3,10,14,0,5,42,62
80,Mark Dodd,1998,DAL,GK,25,24,2205,179,134,42,1.71,3/4,11,13,0,6,44,75
81,Thomas Ravelli,1998,TB,GK,23,23,2053,179,131,38,1.67,3/5,7,13,0,2,30,73
82,Zach Thornton,1998,CHI,GK,25,23,2076,118,85,27,1.17,1/2,16,8,0,8,64,72
83,Jeff Cassar,1998,MIA,GK,21,21,1890,151,107,41,1.95,2/4,12,9,0,2,57,71
84,Juergen Sommer,1998,CLB,GK,21,21,1890,143,106,35,1.67,1/2,11,10,0,4,52,74
85,Mark Dougherty,1998,CLB,GK,11,11,989,77,49,21,1.91,2/4,4,6,0,1,36,64
86,Doug Petras,1998,TB,GK,12,9,827,70,49,19,2.07,1/1,5,7,0,1,42,70
87,Andy Kirk,1998,SJ,GK,9,8,755,56,34,21,2.5,1/1,3,5,0,2,33,61
88,Jorge Campos,1998,CHI,GK,8,8,714,48,33,15,1.89,1/1,4,3,0,0,50,69
89,Garth Lagerwey,1998,DAL,GK,8,7,630,44,28,14,2.0,1/1,4,3,0,0,50,64
90,Jeff Causey,1998,NE,GK,9,6,544,35,24,11,1.82,0/0,3,6,0,0,33,69
91,Chris Snitko,1998,KC,GK,5,5,450,27,18,8,1.6,0/0,1,4,0,1,20,67
92,Tom Presthus,1998,DC,GK,6,5,495,28,19,8,1.45,1/1,5,1,0,0,83,68
93,Matt Napoleon,1998,MIA,GK,4,4,360,45,32,12,3.0,0/1,1,3,0,0,25,71
94,Matt Reis,1998,LA,GK,5,4,336,24,18,5,1.34,0/0,2,1,0,0,40,75
95,Paul Grafer,1998,COL,GK,4,4,360,39,20,17,4.25,0/0,0,4,0,0,0,51
96,David Winner,1998,CLB,GK,4,3,271,23,16,6,1.99,0/0,2,2,0,0,50,70
97,Scott Budnick,1998,MIA,GK,3,3,270,24,16,8,2.67,0/0,0,3,0,0,0,67
98,Chris Snitko,1998,KC,GK,5,5,450,27,18,8,1.6,0/0,1,4,0,1,20,67
99,Tom Presthus,1998,DC,GK,6,5,495,28,19,8,1.45,1/1,5,1,0,0,83,68
100,Matt Napoleon,1998,MIA,GK,4,4,360,45,32,12,3.0,0/1,1,3,0,0,25,71
101,Matt Reis,1998,LA,GK,5,4,336,24,18,5,1.34,0/0,2,1,0,0,40,75
102,Paul Grafer,1998,COL,GK,4,4,360,39,20,17,4.25,0/0,0,4,0,0,0,51
103,David Winner,1998,CLB,GK,4,3,271,23,16,6,1.99,0/0,2,2,0,0,50,70
104,Scott Budnick,1998,MIA,GK,3,3,270,24,16,8,2.67,0/0,0,3,0,0,0,67
105,Mark Simpson,1998,DC,GK,2,2,180,8,3,5,2.5,0/0,0,2,0,0,0,38
106,Bill Andracki,1998,MIA,GK,1,1,90,6,5,1,1.0,0/0,0,1,0,0,0,83
107,Matt Jordan,1998,DAL,GK,1,1,45,4,1,3,6.0,0/0,0,1,0,0,0,25
108,Scott Coufal,1998,CHI,GK,1,1,90,5,2,3,3.0,0/0,0,1,0,0,0,40
109,Tim Howard,1998,MET,GK,1,1,90,8,5,1,1.0,0/0,1,0,0,0,100,63
110,David Allred,1998,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
111,Dusty Hudock,1998,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
112,Emmett Idzahl,1998,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
113,Jeremy Oetman,1998,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
114,Joe Cannon,1998,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
115,Kevin East,1998,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
116,Kevin Rueda,1998,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
117,Manuel Carou,1998,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
118,Marco Ferruzzi,1998,LA,M,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
119,Mike Littman,1998,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
120,Mike McGinty,1998,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
121,Randy Dedini,1998,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
122,Reginald Pierre-Jerome,1998,MIA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
123,Kevin Hartman,1999,LA,GK,32,32,2870,150,118,29,0.91,3/4,20,12,0,11,63,79
124,Mark Dougherty,1999,CLB,GK,31,31,2745,152,106,35,1.15,4/4,18,12,0,6,58,70
125,Zach Thornton,1999,CHI,GK,30,30,2633,137,99,32,1.09,2/3,17,12,0,7,57,72
126,Matt Jordan,1999,DAL,GK,29,29,2584,172,133,31,1.08,0/2,17,11,0,11,59,77
127,Scott Garlick,1999,TB,GK,28,28,2471,193,152,36,1.31,1/3,14,13,0,5,50,79
128,Tom Presthus,1999,DC,GK,26,26,2227,129,88,34,1.37,0/1,17,8,0,3,65,68
129,Walter Zenga,1999,NE,GK,25,25,2125,140,87,45,1.91,1/2,5,13,0,2,20,62
130,Joe Cannon,1999,SJ,GK,24,24,2160,131,96,32,1.33,2/6,14,10,0,4,58,73
131,Mike Ammann,1999,MET,GK,24,24,2138,155,91,51,2.15,2/2,6,18,0,2,25,59
132,Ian Feuer,1999,COL,GK,19,19,1696,99,70,23,1.22,2/2,10,9,0,8,53,71
133,Chris Snitko,1999,KC,GK,16,15,1395,95,66,26,1.68,1/1,4,10,0,2,25,69
134,Jeff Cassar,1999,MIA,GK,15,15,1304,83,45,25,1.73,2/3,5,10,0,3,33,54
135,Garth Lagerwey,1999,MIA,GK,16,14,1306,107,77,27,1.86,0/0,7,7,0,3,44,72
136,Marcus Hahnemann,1999,COL,GK,13,13,1170,85,68,14,1.08,0/1,10,3,0,4,77,80
137,Tony Meola,1999,KC,GK,9,9,765,48,36,10,1.18,0/0,1,8,0,3,11,75
138,David Kramer,1999,SJ,GK,8,8,720,55,35,17,2.13,1/1,5,3,0,0,63,64
139,Tim Howard,1999,MET,GK,9,8,742,55,37,13,1.58,0/0,1,7,0,0,11,67
140,David Winner,1999,LA,GK,8,7,631,42,27,13,1.85,1/3,3,5,0,0,38,64
141,Jeff Causey,1999,NE,GK,16,7,755,49,32,8,0.95,0/0,7,7,0,1,44,65
142,Mark Simpson,1999,DC,GK,9,6,653,48,37,9,1.24,1/1,6,1,0,1,67,77
143,Andy Kirk,1999,TB,GK,6,4,409,32,18,14,3.08,1/1,0,5,0,0,0,56
144,Dusty Hudock,1999,MIA,GK,3,3,270,19,12,7,2.33,0/0,1,2,0,0,33,63
145,Mark Dodd,1999,DAL,GK,6,3,296,23,18,4,1.22,0/0,2,2,0,1,33,78
146,Greg Sutton,1999,CHI,GK,3,2,247,19,14,4,1.46,0/0,1,2,0,0,33,74
147,Cesar Delgado,1999,KC,GK,1,1,90,8,4,4,4.0,0/0,0,1,0,0,0,50
148,Matt Napoleon,1999,CLB,GK,2,1,135,9,5,4,2.67,0/0,1,1,0,0,50,56
149,Anthony Latronica,1999,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
150,Bill Andracki,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
151,Bill May,1999,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
152,David Allred,1999,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
153,J.J. Wozniak,1999,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
154,Jason Kreis,1999,DAL,M,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
155,Jim Welch,1999,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
156,Joe-Max Moore,1999,NE,F,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
157,Johnny Morton,1999,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
158,Jon Busch,1999,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
159,Juergen Sommer,1999,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
160,Kevin East,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
161,Kori Hunter,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
162,Kurt Kelley,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
163,Matt Nyman,1999,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
164,Matt Reis,1999,LA,GK,1,0,10,1,1,0,0.0,0/0,0,0,0,0,0,100
165,Miguel Pineda,1999,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
166,Mike Littman,1999,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
167,Mike McGinty,1999,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
168,Preki,1999,KC,M,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
169,Randy Dedini,1999,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
170,Russell Payne,1999,COL,GK,1,0,14,2,0,2,12.86,1/1,0,0,0,0,0,0
171,Scott Vallow,1999,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
172,Steve McAnulty,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
173,Matt Napoleon,1999,CLB,GK,2,1,135,9,5,4,2.67,0/0,1,1,0,0,50,56
174,Anthony Latronica,1999,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
175,Bill Andracki,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
176,Bill May,1999,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
177,David Allred,1999,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
178,J.J. Wozniak,1999,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
179,Jason Kreis,1999,DAL,M,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
180,Jim Welch,1999,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
181,Joe-Max Moore,1999,NE,F,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
182,Johnny Morton,1999,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
183,Jon Busch,1999,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
184,Juergen Sommer,1999,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
185,Kevin East,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
186,Kori Hunter,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
187,Kurt Kelley,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
188,Matt Nyman,1999,TB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
189,Matt Reis,1999,LA,GK,1,0,10,1,1,0,0.0,0/0,0,0,0,0,0,100
190,Miguel Pineda,1999,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
191,Mike Littman,1999,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
192,Mike McGinty,1999,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
193,Preki,1999,KC,M,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
194,Randy Dedini,1999,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
195,Russell Payne,1999,COL,GK,1,0,14,2,0,2,12.86,1/1,0,0,0,0,0,0
196,Scott Vallow,1999,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
197,Steve McAnulty,1999,MET,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0,0
198,Scott Garlick,2000,TB,GK,32,32,2934,247,184,50,1.53,2/2,16,12,4,6,50,74
199,Matt Jordan,2000,DAL,GK,31,31,2830,188,124,53,1.69,4/5,13,14,4,7,42,66
200,Tony Meola,2000,KC,GK,31,31,2826,162,129,29,0.92,3/6,15,7,9,16,48,80
201,Joe Cannon,2000,SJ,GK,26,26,2420,181,137,40,1.49,3/3,6,13,7,7,23,76
202,Kevin Hartman,2000,LA,GK,26,26,2422,126,91,27,1.0,2/4,12,7,7,7,46,72
203,Mark Dougherty,2000,CLB,GK,25,25,2269,170,111,46,1.82,6/6,10,12,3,3,40,65
204,Zach Thornton,2000,CHI,GK,25,25,2319,127,91,33,1.28,3/3,15,4,6,5,60,72
205,Mike Ammann,2000,MET,GK,22,22,1960,162,108,35,1.61,5/7,11,9,1,2,50,67
206,Nick Rimando,2000,MIA,GK,22,22,2002,150,102,41,1.84,3/5,10,11,1,2,45,68
207,Jeff Causey,2000,NE,GK,22,21,1975,110,67,34,1.55,1/5,8,8,5,3,36,61
208,Tom Presthus,2000,DC,GK,20,20,1741,127,78,42,2.17,3/3,4,13,2,2,20,61
209,David Kramer,2000,COL,GK,20,19,1804,125,79,33,1.65,1/1,9,8,3,4,45,63
210,Adin Brown,2000,COL,GK,13,13,1146,102,72,26,2.04,2/3,4,7,1,2,31,71
211,Mark Simpson,2000,DC,GK,13,12,1177,59,38,21,1.61,3/3,4,5,4,1,31,64
212,Juergen Sommer,2000,NE,GK,11,11,977,62,40,15,1.38,1/1,5,5,1,2,45,65
213,Jeff Cassar,2000,MIA,GK,9,9,773,41,28,10,1.16,0/1,2,2,4,2,22,68
214,Tim Howard,2000,MET,GK,9,8,794,63,40,14,1.59,1/1,5,2,2,4,56,63
215,Matt Napoleon,2000,CLB,GK,8,7,671,38,26,12,1.61,0/1,1,4,2,1,13,68
216,Jon Conway,2000,SJ,GK,6,6,550,43,31,10,1.64,1/1,1,4,1,2,17,72
217,Matt Reis,2000,LA,GK,6,6,559,31,21,10,1.61,1/2,2,3,1,1,33,68
218,Chris Snitko,2000,CHI,GK,5,5,450,31,20,10,2.0,0/0,2,3,0,1,40,65
219,Greg Sutton,2000,CHI,GK,2,2,180,21,12,8,4.0,0/0,0,2,0,0,0,57
220,Paul Grafer,2000,MET,GK,2,2,180,17,12,5,2.5,1/1,1,1,0,0,50,71
221,Bo Oshoniyi,2000,KC,GK,1,1,90,3,2,0,0.0,0/0,1,0,0,1,100,67
222,Garth Lagerwey,2000,MIA,GK,2,1,167,17,11,5,2.69,1/1,0,2,0,0,0,65
223,Jon Conway,2000,SJ,GK,6,6,550,43,31,10,1.64,1/1,1,4,1,2,17,72
224,Matt Reis,2000,LA,GK,6,6,559,31,21,10,1.61,1/2,2,3,1,1,33,68
